feelslike,dew,humidity,precip,precipprob,precipcover,windgust,windspeed,cloudcover,visibility,solarradiation,solarenergy,uvindex,temp
14.6,13.7,94.3,14.114,100.0,45.83,63.4,14.0,96.8,10.4,13.7,1.1,1,14.6
13.5,11.0,83.3,4.043,100.0,29.17,50.6,25.5,78.3,15.9,31.0,2.7,2,13.9
-4.5,-3.4,78.0,17.332,100.0,62.5,48.2,27.8,66.2,11.3,6.9,0.5,1,0.1
-5.2,-6.9,73.1,0.0,0.0,0.0,31.7,17.5,16.1,16.0,40.8,3.5,5,-2.7
-2.2,-2.2,79.8,0.088,100.0,4.17,36.7,18.4,65.9,16.0,42.3,3.7,2,0.9
1.2,-4.7,59.3,0.0,0.0,0.0,31.7,14.3,73.2,15.9,72.8,6.3,4,3.0
-7.6,-9.3,58.2,3.546,100.0,25.0,51.6,36.4,55.5,14.0,92.0,7.8,5,-1.7
-6.7,-12.1,50.5,0.0,0.0,0.0,30.2,15.5,10.0,16.0,87.8,7.5,4,-3.1
-0.7,-2.2,72.6,11.045,100.0,41.67,42.1,19.1,72.1,14.2,17.5,1.6,1,2.5
-4.1,-10.1,43.2,0.0,0.0,0.0,52.3,35.4,47.2,16.0,75.7,6.7,3,1.3
-8.6,-15.0,42.6,0.0,0.0,0.0,46.4,27.3,34.3,16.0,83.7,7.4,5,-3.9
-2.4,-8.8,49.6,0.0,0.0,0.0,56.9,22.1,42.3,16.0,85.4,7.4,4,0.9
3.3,-3.1,63.6,0.0,0.0,0.0,15.1,7.3,69.2,16.0,50.9,4.5,2,3.6
1.0,-2.2,61.9,0.0,0.0,0.0,49.9,32.0,77.3,15.7,59.3,5.2,3,4.6
-8.9,-15.5,39.5,0.0,0.0,0.0,42.5,22.9,50.4,16.0,54.6,4.8,3,-3.5
-9.8,-10.8,65.5,23.666,100.0,37.5,64.7,29.1,68.2,12.3,23.1,2.2,1,-5.1
-2.7,-4.1,65.4,1.145,100.0,16.67,67.6,37.5,86.8,15.1,53.2,4.6,2,2.2
-2.2,-6.9,54.7,0.0,0.0,0.0,57.2,29.7,65.1,16.0,74.3,6.4,4,1.4
2.5,-4.5,52.7,0.061,100.0,4.17,52.2,22.5,67.5,16.0,80.3,7.0,3,4.9
-0.8,-2.8,69.4,10.117,100.0,50.0,42.5,23.6,82.9,14.8,31.3,2.7,2,2.6
-11.3,-14.9,46.7,0.0,0.0,0.0,47.9,23.2,68.8,16.0,70.3,6.1,4,-5.2
-8.2,-16.2,41.8,0.0,0.0,0.0,26.3,16.4,35.0,16.0,101.5,8.7,5,-4.6
-2.5,-9.9,52.7,0.0,0.0,0.0,26.3,15.9,76.1,16.0,62.9,5.5,3,-1.1
-0.6,-5.8,56.6,0.0,0.0,0.0,37.1,16.9,67.0,15.9,73.4,6.4,4,2.1
0.0,-5.2,58.1,0.0,0.0,0.0,46.4,26.1,83.9,16.0,76.5,6.6,4,2.5
-6.4,-13.8,42.3,0.0,0.0,0.0,37.1,21.2,17.5,16.0,102.4,8.9,5,-2.5
-5.4,-11.6,54.5,0.0,0.0,0.0,31.7,16.6,30.3,16.0,101.4,8.8,5,-3.3
-0.9,-4.6,68.1,2.914,100.0,41.67,40.7,20.7,93.4,11.2,44.6,3.8,2,0.9
-10.8,-12.2,54.7,0.088,100.0,4.17,58.1,37.1,46.7,15.0,100.1,8.8,5,-3.8
-7.0,-14.4,46.6,0.0,0.0,0.0,49.4,22.0,56.8,16.0,86.3,7.5,4,-4.5
-3.6,-9.0,57.1,0.0,0.0,0.0,32.0,12.0,56.5,16.0,87.8,7.7,4,-1.5
-1.0,-7.0,62.1,0.0,0.0,0.0,19.8,11.3,29.9,16.0,106.5,9.2,5,-0.4
1.5,-1.4,76.0,0.0,0.0,0.0,31.7,12.8,69.9,13.4,95.2,8.3,5,2.6
7.2,6.5,92.5,12.491,100.0,87.5,39.2,13.9,97.4,8.0,20.9,1.6,1,7.7
5.5,5.4,83.6,22.352,100.0,75.0,49.7,25.1,98.7,12.2,17.1,1.4,1,8.0
-5.8,-10.5,47.6,0.0,0.0,0.0,56.9,35.5,37.7,16.0,115.5,9.8,5,-0.4
-2.5,-11.5,47.6,0.0,0.0,0.0,20.9,12.5,22.3,16.0,120.6,10.4,6,-1.3
1.6,-3.7,66.1,1.202,100.0,25.0,22.0,11.8,89.1,15.2,63.8,5.5,3,2.2
1.4,-5.6,58.1,0.0,0.0,0.0,30.1,18.7,22.5,15.8,126.9,10.8,6,2.8
3.7,-4.1,57.2,0.0,0.0,0.0,35.3,16.3,11.8,16.0,125.5,10.7,6,4.4
7.0,-3.2,49.3,0.0,0.0,0.0,49.9,26.9,34.5,16.0,108.3,9.2,4,7.8
8.8,-2.7,50.3,0.0,0.0,0.0,52.6,27.2,21.8,16.0,130.8,11.1,6,8.9
11.7,-0.5,42.4,0.0,0.0,0.0,42.1,21.2,67.2,16.0,80.6,7.0,3,11.9
-2.9,-3.5,73.4,2.867,100.0,54.17,33.5,21.9,84.6,12.4,33.5,3.0,2,0.9
-7.3,-12.3,48.8,0.0,0.0,0.0,42.5,22.7,56.3,16.0,109.0,9.5,5,-2.6
-3.9,-11.6,47.8,0.0,0.0,0.0,27.0,13.4,23.0,16.0,135.9,11.5,6,-1.6
2.6,-3.1,59.7,0.0,0.0,0.0,45.4,19.9,58.7,16.0,114.1,10.1,5,4.5
14.2,7.1,60.9,0.0,0.0,0.0,53.5,31.8,75.9,16.0,73.2,6.2,4,14.7
6.0,-0.6,52.4,0.576,100.0,8.33,73.1,41.1,54.3,16.0,131.5,11.1,5,8.9
-3.4,-11.1,44.9,0.0,0.0,0.0,78.2,49.8,16.5,16.0,130.9,11.4,6,0.7
-3.5,-13.4,38.3,0.0,0.0,0.0,38.9,19.5,8.0,16.0,153.2,13.1,6,-0.5
7.4,-6.3,37.5,0.0,0.0,0.0,33.5,17.8,26.4,16.0,154.0,13.2,6,8.4
13.1,9.0,76.0,1.081,100.0,20.83,72.0,35.3,81.7,15.6,34.1,2.9,2,13.2
16.0,8.5,61.4,0.27,100.0,8.33,50.0,29.4,64.2,16.0,116.4,10.0,6,16.5
-0.8,-3.0,70.5,5.815,100.0,58.33,42.5,24.5,96.6,12.0,21.5,1.7,1,2.2
2.3,-0.5,72.2,7.136,100.0,16.67,57.4,33.2,76.7,12.4,118.3,10.2,6,4.8
-0.4,-6.8,50.3,0.0,0.0,0.0,45.1,21.7,77.2,16.0,122.4,10.5,6,2.7
5.2,-7.2,44.3,0.0,0.0,0.0,40.3,21.3,38.2,16.0,160.3,13.8,6,5.9
3.2,-6.6,41.9,0.0,0.0,0.0,40.7,18.5,21.4,16.0,167.3,14.3,6,5.6
4.1,-1.6,60.6,0.0,0.0,0.0,51.1,20.5,64.9,16.0,116.7,10.2,4,5.9
9.3,1.3,58.3,0.0,0.0,0.0,31.0,11.6,40.0,16.0,147.1,12.8,6,9.7
7.3,-3.5,44.7,0.0,0.0,0.0,49.6,29.3,63.4,16.0,164.2,14.1,7,9.0
-0.2,-10.7,38.1,0.0,0.0,0.0,33.1,17.5,25.5,16.0,180.6,15.6,7,2.3
7.8,0.5,60.1,0.0,0.0,0.0,36.4,24.0,69.7,16.0,158.0,13.7,6,8.1
18.9,11.8,64.7,0.0,0.0,0.0,55.8,28.4,82.6,16.0,75.6,6.7,5,19.0
20.1,11.8,59.5,0.953,100.0,16.67,69.6,39.2,70.3,16.0,93.8,8.0,4,20.1
6.9,-3.2,43.1,0.0,0.0,0.0,65.5,42.3,66.7,16.0,164.1,14.2,6,8.9
4.0,2.7,81.2,15.827,100.0,58.33,35.3,17.6,88.6,12.8,28.8,2.7,1,5.9
5.6,-0.6,64.4,0.0,0.0,0.0,19.8,13.8,72.9,15.1,130.0,11.1,5,6.2
8.4,2.9,68.6,0.0,0.0,0.0,40.3,19.5,27.3,15.7,190.5,16.5,7,8.9
-4.4,-3.7,71.1,13.693,100.0,37.5,69.3,41.1,80.3,11.4,55.5,4.6,2,1.3
-4.8,-11.5,44.5,0.0,0.0,0.0,55.3,30.2,28.3,16.0,213.2,17.7,7,-0.7
6.5,-2.9,53.5,0.0,0.0,0.0,31.7,19.6,31.3,16.0,203.0,17.6,7,6.9
11.8,0.1,47.1,0.0,0.0,0.0,31.7,17.4,32.5,16.0,203.9,17.7,7,12.3
13.3,2.4,51.8,0.0,0.0,0.0,35.3,18.6,48.1,16.0,183.8,15.9,7,13.4
12.4,9.7,83.7,13.438,100.0,50.0,29.2,19.1,89.8,11.8,53.7,4.7,2,12.5
14.8,9.6,74.7,0.0,0.0,0.0,45.5,20.5,53.6,9.4,167.3,14.5,7,14.8
18.7,11.0,62.9,0.0,0.0,0.0,58.1,31.1,51.0,16.0,136.8,11.7,6,18.7
12.9,1.3,45.3,0.0,0.0,0.0,61.4,38.4,53.1,16.0,127.9,11.0,7,12.9
12.5,-0.5,41.0,0.0,0.0,0.0,64.8,22.4,14.2,16.0,211.0,18.3,8,13.1
13.3,2.5,51.1,0.0,0.0,0.0,27.0,12.9,49.6,16.0,181.1,15.5,6,13.4
10.2,4.4,67.5,7.224,100.0,45.83,49.0,15.9,84.2,14.1,55.0,4.7,2,10.5
11.7,9.9,88.6,4.755,100.0,20.83,24.8,17.6,97.4,10.0,64.9,5.7,3,11.8
12.3,3.3,57.7,0.0,0.0,0.0,35.3,22.5,66.2,13.3,130.4,11.3,6,12.4
6.6,-2.3,47.0,0.197,100.0,8.33,53.3,27.6,75.2,16.0,113.5,9.8,4,8.6
-0.4,-7.1,44.1,0.0,0.0,0.0,61.4,39.7,71.8,16.0,115.0,9.9,5,4.3
-4.3,-12.2,37.6,0.0,0.0,0.0,68.5,45.3,60.4,16.0,166.3,14.3,7,1.0
-3.0,-12.9,35.3,0.0,0.0,0.0,46.9,28.2,17.5,16.0,238.7,20.5,8,1.2
7.6,-2.4,50.3,0.385,100.0,8.33,41.4,21.5,84.4,16.0,148.3,12.7,7,7.8
18.1,12.3,69.2,2.609,100.0,8.33,72.4,42.1,86.6,15.9,63.2,5.2,3,18.1
10.8,2.2,54.0,3.874,100.0,25.0,67.9,38.4,74.9,15.7,165.8,14.2,8,11.6
7.0,-3.7,42.7,0.0,0.0,0.0,43.6,25.1,45.0,16.0,247.1,21.3,8,8.6
9.3,0.4,52.8,0.0,0.0,0.0,58.7,37.7,77.7,16.0,158.2,13.6,6,10.2
7.4,-2.9,46.5,0.0,0.0,0.0,46.4,19.5,54.0,16.0,184.4,15.7,7,8.3
10.2,6.8,79.2,14.782,100.0,45.83,42.5,18.9,88.8,13.6,46.0,4.0,2,10.4
13.2,10.9,86.5,20.39,100.0,45.83,49.0,19.1,97.3,12.5,71.0,6.1,3,13.2
10.6,9.0,89.1,13.8,100.0,62.5,44.6,20.8,94.7,10.5,28.8,2.6,1,10.8
11.1,2.9,59.4,1.128,100.0,12.5,56.4,23.1,49.4,15.8,214.8,18.4,8,11.6
8.9,1.8,61.6,2.385,100.0,20.83,47.9,22.9,84.1,15.8,160.4,13.8,7,9.5
6.1,-2.0,50.4,0.0,0.0,0.0,55.1,31.4,50.4,16.0,141.2,12.3,5,8.1
10.1,1.5,57.7,0.0,0.0,0.0,36.7,20.1,33.7,16.0,235.6,20.2,8,10.3
18.3,9.5,58.5,0.0,0.0,0.0,37.1,23.2,72.3,16.0,209.9,18.1,9,18.3
21.0,11.4,58.0,0.0,0.0,0.0,48.6,25.7,56.8,16.0,199.2,17.2,7,21.2
22.4,10.2,46.5,0.252,100.0,4.17,71.5,37.4,66.0,16.0,176.0,15.1,7,22.4
15.6,-1.0,37.3,0.0,0.0,0.0,44.4,26.7,27.3,16.0,271.4,23.5,9,15.6
19.0,5.1,40.9,1.074,100.0,16.67,59.4,23.0,65.5,15.9,225.7,19.3,8,19.0
11.3,-1.7,40.2,0.118,100.0,4.17,46.7,29.5,46.5,16.0,282.1,24.3,9,11.8
3.9,-0.2,66.3,16.816,100.0,54.17,45.6,25.2,78.1,13.5,30.9,2.9,1,6.1
5.1,-1.8,55.4,0.787,100.0,8.33,60.1,32.2,82.0,16.0,174.6,15.1,7,7.5
9.4,-1.9,46.2,0.0,0.0,0.0,34.2,15.4,32.0,16.0,278.7,24.1,9,10.0
13.4,5.1,56.0,0.0,0.0,0.0,42.5,21.0,73.4,16.0,154.0,13.2,7,14.0
17.3,5.9,53.2,0.0,0.0,0.0,35.7,20.4,49.5,16.0,265.8,23.0,9,17.3
17.8,7.8,53.9,0.0,0.0,0.0,28.8,14.7,49.0,16.0,240.7,20.8,8,17.8
19.3,10.6,59.0,0.0,0.0,0.0,35.3,19.1,30.3,16.0,258.8,22.4,8,19.3
16.0,11.1,73.2,0.0,0.0,0.0,31.3,15.2,54.4,15.8,205.8,17.8,9,16.0
16.3,12.8,80.1,1.607,100.0,16.67,32.8,22.5,90.3,14.1,96.0,8.2,6,16.3
11.4,-1.5,39.7,0.0,0.0,0.0,56.7,30.6,39.9,16.0,225.2,19.4,9,12.1
6.8,-5.3,38.0,0.0,0.0,0.0,50.1,29.4,42.6,16.0,280.5,24.2,9,9.0
10.6,-5.5,34.3,0.0,0.0,0.0,37.0,17.0,20.3,16.0,299.5,25.8,9,11.2
12.0,-1.8,41.9,0.0,0.0,0.0,28.1,12.8,43.7,16.0,270.4,23.1,8,12.3
14.0,9.2,73.6,4.624,100.0,12.5,36.0,12.6,88.7,15.5,81.0,7.0,3,14.0
18.7,10.8,64.3,0.819,100.0,4.17,40.7,15.0,44.0,15.6,278.5,24.2,9,18.7
16.9,12.8,77.4,0.0,0.0,0.0,40.7,20.1,62.7,13.3,123.5,10.9,6,16.9
17.9,14.6,82.3,19.078,100.0,37.5,33.5,14.5,88.3,13.1,139.7,12.2,6,17.9
17.0,11.0,68.5,0.0,0.0,0.0,31.7,16.6,79.7,16.0,123.1,10.5,4,17.0
15.1,13.4,89.5,17.854,100.0,70.83,43.7,24.3,96.2,13.0,34.3,3.0,2,15.1
10.2,9.1,89.7,31.019,100.0,95.83,60.8,25.3,98.1,8.2,45.7,4.1,2,10.8
8.3,3.7,67.5,0.569,100.0,12.5,51.8,23.1,91.0,15.4,137.3,12.1,6,9.8
12.8,0.6,49.5,0.0,0.0,0.0,37.1,17.8,4.8,16.0,316.4,27.3,9,13.1
16.0,1.7,40.4,0.0,0.0,0.0,38.9,20.6,20.0,16.0,312.9,26.9,9,16.1
16.7,7.0,54.7,0.0,0.0,0.0,40.7,20.2,36.9,16.0,213.2,18.5,8,16.8
17.8,14.1,79.3,0.088,100.0,4.17,42.1,18.0,72.5,15.8,130.2,11.1,8,17.8
19.8,17.3,85.5,4.191,100.0,12.5,32.8,12.6,94.1,14.8,113.6,10.0,4,19.8
20.1,18.1,88.4,0.297,100.0,12.5,30.2,11.2,89.6,14.3,81.5,7.0,3,20.1
20.9,17.4,82.6,1.593,100.0,8.33,50.0,19.2,82.5,10.3,226.3,19.5,9,20.8
20.2,16.5,81.0,14.182,100.0,29.17,60.3,26.0,64.1,14.9,160.3,13.9,8,20.2
20.6,8.6,50.4,0.942,100.0,4.17,51.1,25.8,15.9,15.6,270.6,23.3,10,20.7
18.6,7.5,49.0,0.0,0.0,0.0,33.8,12.5,45.2,16.0,249.0,21.5,9,18.6
21.7,14.0,64.3,1.154,100.0,16.67,45.7,21.7,67.7,15.9,270.8,23.3,8,21.8
25.9,18.1,67.6,0.0,0.0,0.0,35.3,15.2,63.1,16.0,220.7,19.2,8,24.8
29.4,19.1,58.2,0.0,0.0,0.0,55.1,17.4,44.4,16.0,287.8,24.9,8,28.3
26.2,19.7,71.4,23.61,100.0,20.83,93.3,24.2,57.2,14.5,233.3,19.8,9,25.5
19.6,11.9,62.4,6.366,100.0,8.33,37.4,21.7,76.2,15.9,202.2,17.5,9,19.6
15.8,12.5,81.2,9.481,100.0,58.33,35.3,16.4,93.7,13.4,82.7,7.0,3,15.8
17.6,10.7,64.9,0.0,0.0,0.0,33.5,19.4,91.3,16.0,177.9,15.3,5,17.6
18.7,14.4,76.3,0.0,0.0,0.0,27.4,12.3,99.3,15.9,120.8,10.2,4,18.7
21.3,19.0,87.3,9.805,100.0,29.17,54.5,22.7,90.9,15.2,80.8,7.0,3,21.3
20.8,15.1,71.6,1.131,100.0,12.5,40.7,19.6,66.6,15.8,248.1,21.2,9,20.8
22.0,14.5,65.1,0.0,0.0,0.0,24.5,12.6,34.9,16.0,292.5,25.3,9,22.0
25.1,17.7,67.7,0.0,0.0,0.0,20.5,15.5,24.6,15.9,300.0,25.9,9,24.6
28.1,18.8,63.3,0.0,0.0,0.0,32.4,12.3,28.0,15.5,300.3,25.9,9,27.4
28.8,19.5,62.6,0.0,0.0,0.0,29.5,19.0,40.5,15.8,275.2,23.7,9,28.0
25.6,20.3,76.4,6.594,100.0,29.17,52.8,18.0,52.3,15.1,222.1,19.1,9,25.0
22.0,13.4,61.4,2.729,100.0,12.5,38.9,21.0,58.2,15.8,221.3,19.1,7,22.0
21.6,10.1,52.6,0.0,0.0,0.0,30.7,17.1,28.5,16.0,315.5,27.4,9,22.0
20.9,9.0,48.2,0.0,0.0,0.0,35.3,16.8,28.7,16.0,324.3,28.0,9,20.9
20.9,10.3,54.2,0.0,0.0,0.0,35.3,19.7,27.1,16.0,322.8,27.9,9,21.0
21.3,17.4,79.2,2.895,100.0,25.0,41.0,24.3,73.8,15.4,123.6,10.6,5,21.3
24.7,19.5,77.4,2.043,100.0,16.67,30.2,12.7,53.5,14.3,271.2,23.3,9,24.2
23.9,15.5,63.0,4.096,100.0,12.5,51.0,32.4,57.7,15.7,300.8,26.0,9,24.0
21.2,12.0,58.0,0.0,0.0,0.0,25.9,18.7,49.0,16.0,251.9,21.7,8,21.2
19.8,15.5,77.0,1.942,100.0,41.67,31.3,13.2,84.9,15.7,89.2,7.7,4,19.8
22.1,18.5,81.6,0.687,100.0,16.67,24.8,15.0,68.2,15.6,194.1,16.6,9,21.9
28.1,21.2,73.3,4.336,100.0,12.5,30.6,11.8,64.5,15.3,275.2,23.7,9,26.9
26.0,21.4,78.7,0.315,100.0,4.17,37.1,18.1,69.2,14.7,144.1,12.3,5,25.5
26.6,19.3,69.8,0.0,0.0,0.0,28.4,16.6,39.0,14.9,270.9,23.2,9,25.7
26.2,19.4,68.3,3.435,100.0,16.67,41.4,19.9,73.9,15.7,226.4,19.7,9,25.7
29.4,18.3,58.1,0.0,0.0,0.0,52.0,25.0,48.5,16.0,274.3,23.6,9,28.6
22.4,8.9,43.4,0.0,0.0,0.0,58.0,34.6,24.2,16.0,287.3,24.8,9,22.4
20.3,3.7,35.2,0.0,0.0,0.0,50.0,32.4,24.0,16.0,334.0,28.9,10,20.3
20.2,6.2,43.4,0.0,0.0,0.0,35.3,20.1,50.9,16.0,309.3,26.5,10,20.3
22.7,13.3,56.6,0.0,0.0,0.0,31.7,16.9,74.9,16.0,212.6,18.3,8,22.8
24.3,18.9,75.3,19.853,100.0,37.5,55.4,17.1,71.0,14.5,162.2,14.0,9,23.9
20.2,18.3,89.3,18.751,100.0,50.0,28.4,14.5,92.9,13.0,78.5,6.7,3,20.2
21.8,17.4,78.3,0.0,0.0,0.0,13.3,13.0,41.8,14.7,223.7,19.3,8,21.7
25.4,19.1,72.9,0.0,0.0,0.0,21.6,15.7,33.1,15.0,283.0,24.5,8,24.7
26.5,19.2,67.9,0.0,0.0,0.0,40.7,22.1,54.1,16.0,279.5,24.0,9,25.8
24.4,19.2,74.1,2.298,100.0,16.67,27.7,18.9,64.6,15.5,172.8,14.9,7,24.3
21.8,10.8,51.5,0.0,0.0,0.0,31.8,16.8,35.9,15.9,324.3,28.1,10,21.8
23.4,15.7,64.4,0.0,0.0,0.0,35.3,19.9,36.5,16.0,280.0,24.1,9,23.3
26.3,17.4,62.0,0.0,0.0,0.0,20.2,11.3,18.0,15.8,325.3,27.9,9,26.3
28.9,21.4,72.5,0.905,100.0,8.33,35.3,18.4,40.1,15.6,202.5,17.3,10,27.1
29.6,21.7,70.0,0.0,0.0,0.0,50.0,17.7,68.7,16.0,222.2,19.2,9,27.7
25.8,18.3,65.7,4.405,100.0,12.5,29.5,19.0,53.9,15.8,233.2,20.2,9,25.9
24.8,13.9,53.6,0.0,0.0,0.0,25.9,11.2,27.2,15.8,322.3,27.8,9,25.1
27.0,20.9,76.7,2.55,100.0,8.33,38.9,20.2,65.4,15.2,166.8,14.4,6,25.3
29.7,20.9,66.4,0.0,0.0,0.0,30.9,14.9,66.2,16.0,195.8,16.8,6,28.2
25.2,21.4,81.0,1.091,100.0,20.83,19.1,14.8,86.3,15.7,113.8,9.6,4,24.9
26.8,21.1,77.7,0.0,0.0,0.0,16.2,13.3,74.9,14.8,177.6,15.2,6,25.6
22.1,20.3,89.8,63.915,100.0,66.67,47.9,16.2,95.4,12.4,37.8,3.2,1,22.1
23.4,17.4,71.0,0.0,0.0,0.0,22.7,12.6,69.7,16.0,223.4,19.2,9,23.3
23.0,15.2,64.7,0.0,0.0,0.0,21.6,15.4,11.4,15.9,323.5,27.7,10,23.1
25.1,19.1,73.9,10.534,100.0,20.83,72.4,27.1,31.1,15.8,231.8,20.0,8,24.3
26.9,19.6,70.4,0.177,100.0,4.17,53.6,16.5,66.5,15.3,313.1,27.0,9,26.2
25.8,18.4,66.9,0.177,100.0,4.17,37.1,16.6,48.7,15.8,251.6,21.8,10,25.4
26.1,17.5,62.5,0.0,0.0,0.0,16.2,11.0,43.3,16.0,300.2,26.0,9,26.1
25.5,20.2,76.8,30.039,100.0,29.17,44.6,21.0,67.2,15.3,201.3,17.3,7,24.8
26.0,21.9,83.9,2.816,100.0,20.83,33.8,12.3,75.4,15.1,155.6,13.4,7,25.0
28.3,22.5,79.4,1.417,100.0,4.17,38.9,21.7,69.5,15.4,234.0,20.0,8,26.5
28.3,20.5,68.0,0.0,0.0,0.0,31.7,13.9,59.8,15.5,262.8,22.5,9,27.3
29.5,21.1,69.3,0.0,0.0,0.0,33.5,19.6,15.8,15.5,289.2,24.8,9,27.7
31.3,22.5,69.7,1.441,100.0,12.5,60.9,16.8,53.9,15.7,205.1,17.7,7,28.7
29.5,20.1,63.6,0.0,0.0,0.0,35.3,16.8,35.1,16.0,296.1,25.5,9,28.4
29.6,20.1,63.0,0.708,100.0,4.17,64.9,22.2,32.8,16.0,303.4,26.1,9,28.5
30.0,20.6,66.0,0.0,0.0,0.0,36.0,18.1,51.7,15.9,277.0,23.8,9,28.0
29.4,22.4,74.7,6.245,100.0,8.33,64.8,18.2,66.2,15.8,153.3,13.2,6,27.4
24.5,20.3,78.4,0.0,0.0,0.0,26.3,11.0,80.5,15.9,74.6,6.4,2,24.5
28.3,21.7,75.6,0.0,0.0,0.0,35.3,15.7,77.1,16.0,212.2,18.4,9,26.5
29.3,22.1,74.6,4.244,100.0,16.67,68.4,18.9,63.6,15.7,194.3,16.7,6,27.4
26.3,21.9,83.0,0.469,100.0,12.5,29.5,15.7,68.5,15.0,110.5,9.5,5,25.2
25.8,17.7,63.5,0.094,100.0,4.17,29.2,16.2,65.1,16.0,267.2,23.2,9,25.9
23.8,19.2,77.8,8.051,100.0,29.17,50.0,12.5,78.1,15.2,108.5,9.2,4,23.5
26.3,20.3,74.2,0.0,0.0,0.0,27.7,15.7,74.8,15.6,266.7,23.2,9,25.6
28.6,20.4,67.7,4.585,100.0,12.5,83.2,18.3,48.1,15.5,254.0,22.1,8,27.7
27.8,18.8,62.2,0.0,0.0,0.0,27.7,11.9,20.3,16.0,277.3,24.0,9,27.2
29.5,21.7,72.1,10.423,100.0,20.83,66.0,24.9,33.8,15.1,247.9,21.6,8,27.7
26.8,21.9,80.9,2.13,100.0,16.67,43.9,18.1,70.2,15.9,181.8,15.7,9,25.7
27.9,21.7,77.6,0.0,0.0,0.0,40.7,18.5,71.0,15.9,227.4,19.6,7,26.2
29.8,22.2,74.1,0.0,0.0,0.0,33.5,20.2,49.4,16.0,249.9,21.8,8,27.5
31.2,23.3,74.8,0.0,0.0,0.0,42.5,17.5,32.8,16.0,174.5,15.1,8,28.4
31.9,22.6,68.8,0.59,100.0,4.17,61.0,23.3,37.6,16.0,232.2,20.0,8,29.3
28.1,22.4,79.6,17.497,100.0,29.17,51.8,19.1,66.7,15.1,176.4,15.3,8,26.5
25.7,18.9,69.8,0.197,100.0,4.17,34.9,22.7,63.5,16.0,260.2,22.4,9,25.7
24.3,13.9,53.6,0.234,100.0,8.33,37.4,24.9,49.4,16.0,286.9,24.6,9,24.5
21.8,10.9,52.6,0.0,0.0,0.0,20.9,15.3,23.1,16.0,289.7,25.0,9,22.0
22.2,15.2,66.5,2.561,100.0,25.0,25.9,16.7,80.2,15.8,173.9,15.0,8,22.2
